period,z_m,n_decay_on,n_decay_off,T_observed,A_aperture(decay_corrected),S_decay_survival
1,4.3,262,265,1.0,1.0,0.9887
2,8.5,272,275,1.0382,1.0377,0.9891
3,12.7,264,269,1.0076,1.0151,0.9814
4,16.9,262,257,1.0,0.9698,1.0195
5,21.1,251,255,0.958,0.9623,0.9843
6,25.3,234,233,0.8931,0.8792,1.0043
7,29.5,231,231,0.8817,0.8717,1.0
8,33.7,211,219,0.8053,0.8264,0.9635
9,37.9,203,215,0.7748,0.8113,0.9442
10,42.1,196,210,0.7481,0.7925,0.9333
11,46.3,189,202,0.7214,0.7623,0.9356
12,50.5,186,198,0.7099,0.7472,0.9394
13,54.7,175,187,0.6679,0.7057,0.9358
14,58.9,171,184,0.6527,0.6943,0.9293
15,63.1,169,180,0.645,0.6792,0.9389
16,67.3,164,178,0.626,0.6717,0.9213
17,71.5,161,174,0.6145,0.6566,0.9253
18,75.7,157,172,0.5992,0.6491,0.9128
19,79.9,156,170,0.5954,0.6415,0.9176
20,84.1,147,168,0.5611,0.634,0.875
21,88.3,146,168,0.5573,0.634,0.869
22,92.5,148,168,0.5649,0.634,0.881
23,96.7,148,170,0.5649,0.6415,0.8706
24,100.9,147,166,0.5611,0.6264,0.8855
25,105.1,145,166,0.5534,0.6264,0.8735
26,109.3,145,166,0.5534,0.6264,0.8735
27,113.5,145,165,0.5534,0.6226,0.8788
28,117.7,142,163,0.542,0.6151,0.8712
29,121.9,141,162,0.5382,0.6113,0.8704
30,126.1,141,161,0.5382,0.6075,0.8758
31,130.3,138,161,0.5267,0.6075,0.8571
