period,z_m,n_decay_on,n_decay_off,T_observed,A_aperture(decay_corrected),S_decay_survival
1,4.3,286,284,1.0,1.0,1.007
2,8.5,289,292,1.0105,1.0282,0.9897
3,12.7,281,279,0.9825,0.9824,1.0072
4,16.9,275,278,0.9615,0.9789,0.9892
5,21.1,275,284,0.9615,1.0,0.9683
6,25.3,266,274,0.9301,0.9648,0.9708
7,29.5,258,264,0.9021,0.9296,0.9773
8,33.7,250,263,0.8741,0.9261,0.9506
9,37.9,248,262,0.8671,0.9225,0.9466
10,42.1,245,252,0.8566,0.8873,0.9722
11,46.3,242,250,0.8462,0.8803,0.968
12,50.5,244,239,0.8531,0.8415,1.0209
13,54.7,233,231,0.8147,0.8134,1.0087
14,58.9,228,228,0.7972,0.8028,1.0
15,63.1,224,223,0.7832,0.7852,1.0045
16,67.3,217,224,0.7587,0.7887,0.9688
17,71.5,208,216,0.7273,0.7606,0.963
18,75.7,204,213,0.7133,0.75,0.9577
19,79.9,205,207,0.7168,0.7289,0.9903
20,84.1,203,202,0.7098,0.7113,1.005
21,88.3,204,203,0.7133,0.7148,1.0049
22,92.5,200,204,0.6993,0.7183,0.9804
23,96.7,197,204,0.6888,0.7183,0.9657
24,100.9,195,201,0.6818,0.7077,0.9701
25,105.1,191,200,0.6678,0.7042,0.955
26,109.3,189,198,0.6608,0.6972,0.9545
27,113.5,188,197,0.6573,0.6937,0.9543
28,117.7,185,194,0.6469,0.6831,0.9536
29,121.9,183,192,0.6399,0.6761,0.9531
30,126.1,183,190,0.6399,0.669,0.9632
31,130.3,180,191,0.6294,0.6725,0.9424
