number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScaleStart,p_wedgeScaleEnd,p_wedgeScaleMidBump
0,-7.441072893951898,7.441072893951898,0.3212996389891697,0.3505410547027953,0.9165820513137389,351.32768512694787,61322.94240483183,174.54628542203713,277,89,1,62.49323749542236,29.313476869175737,24.770121619396377,18.88845954146361,0.03997875866802006,1.0455183777789476,0.1099701590823022,1.00039610697772,4.340843214116344,0.9904981226382543
1,-6.69393089305004,6.69393089305004,0.46124031007751937,0.5017351690258771,0.9192903717971798,222.41102030754462,53147.34685802023,238.96004246790181,258,119,1,72.17452931404114,27.25304377483963,27.741589488569943,19.523798867597172,0.02277001316284783,0.8232603037578073,-0.023065221249317952,0.6374878897072672,3.7950881934321297,0.1760307229744244
2,-5.662112250897016,5.662112250897016,0.458955223880597,0.5011384187605936,0.9158252624408175,464.6667729075713,38925.55584326303,83.77090446922458,268,123,1,75.76827144622803,24.64432895728227,26.06536619442842,23.06501698624301,0.03854925523285709,0.889688508350156,-0.08781069328730043,1.2116686680706266,3.7214356575000407,-0.11241626039430233
3,-5.635251926521148,5.635251926521148,0.5169811320754717,0.5643008797480504,0.916144472973875,173.38234613316212,21288.194214977662,122.78178655298493,265,137,1,82.30892705917358,23.0,25.0,20.0,0.0,1.0,0.0,0.8,4.2,0.5
4,-5.709720775654724,5.709720775654724,0.5075187969924813,0.5535818326716858,0.9167909187754663,262.98937513252116,32571.953106545265,123.8527339369971,266,135,1,75.24448084831238,27.0,25.0,20.0,0.0,1.0,0.0,0.8,4.2,0.5
5,-5.605506582520866,5.605506582520866,0.5381679389312977,0.5873520851542201,0.9162612213932837,182.19624256673575,25130.71358388078,137.93211775306386,262,141,1,79.43883490562439,25.0,25.0,20.0,0.0,1.0,0.0,0.8,4.2,0.5
6,-6.491917981221553,6.491917981221553,0.4351145038167939,0.4743587721077039,0.9172688045452662,293.0926739374915,47374.21144320209,161.63560421611115,262,114,1,71.53205609321594,29.0,25.0,20.0,0.0,1.0,0.0,0.8,4.2,0.5
7,-7.104341020607313,7.104341020607313,0.3800738007380074,0.414119606568253,0.9177875056137089,418.990905725099,82881.68655282169,197.81261459455297,271,103,1,65.30940318107605,28.68347597552572,28.301608626011586,21.04570878660026,0.038891001212789406,1.0384212858705666,-0.13891773141062916,1.3821765233356482,3.1587994299944535,0.9633969453642888
8,-6.676500375785992,6.676500375785992,0.45149253731343286,0.492496938673181,0.9167418147405816,215.06925751535044,47085.79921480507,218.93319277137667,268,121,1,72.63525724411011,25.61894322904439,28.82078618212629,19.53363718456945,0.02637064361588264,1.2096213541772385,0.13963453173096166,1.331678773671872,3.702592898106161,0.6454518798375459
9,-6.73558405208023,6.73558405208023,0.36466165413533835,0.3978674506172739,0.9165405553271115,628.9318646206477,76429.95045328389,121.52341891499499,266,97,1,65.63208055496216,25.7476999715698,26.290679719981878,21.214252576304183,0.04533709536427363,0.9649959647219074,0.008981048890483956,1.5226719285310395,3.629482144255932,0.4369015305507648
10,-6.936856226494566,6.936856226494566,0.4307116104868914,0.4694990805427067,0.9173854184954316,170.14319193518446,41553.54588783806,244.22690920050306,267,115,1,70.05293989181519,25.493905704500005,24.368272340449934,20.652039593208443,0.022321105856656392,1.2613408633006873,-0.03669759635705214,1.516732847091219,3.3986995340846216,-0.26116199103173
11,-6.927822627774151,6.927822627774151,0.4419475655430712,0.48136610506238053,0.9181111027453811,170.41760960566063,44767.97743253114,262.6957245564141,267,118,1,73.06854557991028,28.328184313285064,27.415389942262593,21.450418155806794,0.005983495995613342,1.1058111959352255,-0.13466036607696422,0.6918109759554876,3.612689366066064,0.8200112765316412
12,-6.267380458991316,6.267380458991316,0.4200743494423792,0.45803849589227585,0.9171158171412185,344.3714756225545,39820.99604697912,115.63383980915015,269,113,1,74.23177075386047,26.420099828182032,23.190949066824434,20.563796927242812,0.006784025623681143,0.7425328758521268,-0.12344259436531238,0.7965634226157987,4.8228486029893975,0.34207981778787655
13,-5.9901459378558775,5.9901459378558775,0.5639097744360902,0.6153026075967268,0.9164755154193661,81.43993226313606,18345.702763510173,225.26667512731208,266,150,1,83.21635293960571,22.84472143999648,26.55622940663168,19.53434970193195,0.0026678201928866797,1.0878359091844068,0.06949784514733229,0.6119711978045278,3.721414386694844,0.9234200211081363
14,-5.0009181066241695,5.0009181066241695,0.5909090909090909,0.6446701772004546,0.9166068352582609,188.96195705483484,16586.936722311464,87.77923864060163,264,156,1,83.82135963439941,22.538031127657387,24.281987303466977,19.466895866219456,0.005890748755858796,0.8380161579760077,0.008802251755918847,0.8674628835096062,4.231967496473973,0.4575755282792019
15,-5.3889517378983545,5.3889517378983545,0.5551330798479087,0.605681288147207,0.9165432228327105,182.97689534815436,22242.590421562127,121.55955744707897,263,146,1,80.4401502609253,23.377076273967027,23.762570527124865,19.10831288990063,0.0005026382019003275,0.9269172635121236,-0.055574084628371434,1.1594437135501243,4.10500407310408,0.19217360267255346
16,-5.0812389221779934,5.0812389221779934,0.5643939393939394,0.6164155892047323,0.9156062067185736,187.72037587129282,17054.845198370876,90.8523921242531,264,149,1,82.27490210533142,22.645960366534958,24.72925622735059,19.809341375471547,0.007209419068812892,1.0172437755404802,0.08994984338384779,0.9074506280277054,4.667626776561404,0.5799197773689865
17,-6.097047795971966,6.097047795971966,0.4714828897338403,0.5149258476736333,0.9156325942151429,268.1421949228549,37953.127706750034,141.54104958255164,263,124,1,74.51620507240295,25.63480246622406,23.378109715770854,20.642033828269355,0.009241855706186759,0.7687571485049273,0.09305563124489821,0.6333376631312534,3.9073324382396466,0.17249343057904493
18,-5.252761379075599,5.252761379075599,0.5440613026819924,0.5935800749282618,0.9165760874769017,195.32168781103428,19712.779760003727,100.92468471332806,261,142,1,80.4568395614624,22.74608312894151,23.9392715427133,21.0008919712138,0.01283944706189671,0.721911535091078,0.010177566577159654,0.857822136662936,4.40697033295744,0.1181778489675342
19,-5.202864891838487,5.202864891838487,0.49433962264150944,0.5399463561168897,0.9155346953290538,374.7955638655974,25499.425884275002,68.03555949616084,265,131,1,77.37408876419067,22.870689793199574,23.33359855776744,19.53802594808328,0.026393618148839153,1.1873925132509244,0.11117908478553479,0.9106746115728158,4.825730491862676,0.13638683374196287
20,-5.8506096728407435,5.8506096728407435,0.553030303030303,0.6033283188363978,0.9166324300786982,115.37995814419482,22170.05664123569,192.1482465224065,264,146,1,81.43509125709534,23.617077647109024,27.60256517976274,18.295001368757433,0.01947428639834487,0.8895567585530567,0.05256686036567375,0.9931822752418639,4.4521420266359195,0.7231162194898635
