design,seed,transmission,cooling_factor,eps6d_in,eps6d_out,score,n_in,n_out
nom_Gq-0.026,1,0.6159695817490495,104.91938056257356,18722.141957451364,178.44312325391152,-5.668827610156456,263,162
nom_Gq-0.052,1,0.6360153256704981,89.50737030873228,21830.797694495104,243.89944223805787,-5.9492886373385785,261,166
nom_Gq-0.078,1,0.6768060836501901,62.97421441102352,17131.523190906613,272.0402842835269,-5.99632064119892,263,178
nom_Gq-0.052_roll45,1,0.6335877862595419,82.93343287945468,14250.598560093587,171.8317699546708,-5.60287263192513,262,166
B2_Gq-0.052,1,0.5676691729323309,215.75344855439846,19393.67091207553,89.88811554122508,-5.226436343617115,266,151
nom_pT_1.0-0.7,1,0.6179775280898876,76.27698027001072,16185.94641617058,212.1996224663641,-5.838830631537366,267,165
nom_pT_0.7-1.0,1,0.6297709923664122,72.13474344417568,20887.984717057483,289.5689888080419,-6.130792601793141,262,165
nom_pT_1.15-0.85,1,0.6463878326996197,94.66776082821745,19627.4713075699,207.33004705990228,-5.77066754887956,263,170
B2_pT_1.15-0.85,1,0.5779467680608364,138.30688977245833,15965.024160095627,115.4318789639561,-5.407220234473267,263,152
B2_pT_0.85-1.15,1,0.5773584905660377,71.57495453884604,15259.015686853076,213.18931720133352,-6.024680035864309,265,153
