number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
0,4.141418080103668,-4.141418080103668,0.17301038062283736,363.5154366512901,100710.14423414391,277.04502774871776,289,50,1,66.83267426490784,24.438409643893564,18.41770091130643,26.04045465646978,0.06753342344328206,0.6783147309390087,0.03333038308957462,1.6073540122143248
1,3.0098294557506144,-3.0098294557506144,0.28719723183391005,70.62721388831271,39234.60897769322,555.5168725717738,289,83,1,66.83202481269836,25.02665576613445,19.3182252398209,26.66956157867182,0.014551198265587777,0.8349445824615862,0.18582548717085717,1.5332032892040195
2,4.939225872636117,-4.939225872636117,0.2078853046594982,671.822819238688,84002.44642824537,125.03660790122794,279,58,1,66.84091210365295,23.698517546718435,20.363966896201557,27.602152567882378,0.07943503665524214,0.43138119413941095,0.015935575505991673,2.709934533326556
3,4.74502848381872,-4.74502848381872,0.4875444839857651,235.89864143474895,67874.24013554791,287.72628669132183,281,137,1,71.77430582046509,23.39590803763015,27.962055498743453,24.461593049561735,0.0812648524199143,0.9745129890639017,-0.09248567666701242,2.0105600947221456
4,4.204492833420761,-4.204492833420761,0.20833333333333334,321.53575524979567,174541.82384870097,542.8379923505005,288,60,1,46.399657011032104,25.722712657277643,24.869985619429393,28.168507785707046,0.09653354669490435,0.8771930165307145,0.020746747922210207,1.9264213065487101
5,4.089418150532671,-4.089418150532671,0.32413793103448274,184.1967152684165,72191.35086702442,391.925289014113,290,94,1,60.84367299079895,23.22837919021129,19.579228423519385,27.327913143736385,0.10491103174539704,0.9401832994518527,-0.12583480498145538,1.1025152316047262
6,3.6753347946386854,-3.6753347946386854,0.49480968858131485,79.75160385452129,25939.194822065278,325.2498202968081,289,143,1,76.07445549964905,21.33569831206595,22.24184939535014,21.407835668464703,0.05675171910049434,0.5911535790426872,0.08774678399680697,1.11605930951421
7,4.440828556886161,-4.440828556886161,0.5536332179930796,153.251663529878,19411.46712156865,126.6639896393959,289,160,1,78.10907936096191,22.377623749040964,26.68286053813714,22.143000095916733,0.04514698965463949,1.0624013183281167,-0.12736920437737342,2.869038059337007
8,4.364828474375901,-4.364828474375901,0.4305555555555556,182.63824423263722,63447.126470011965,347.392336893009,288,124,1,67.25271224975586,24.517699322243026,27.766147842647694,22.35002987454912,0.06350560818438064,0.5986808959348658,-0.018198829476380518,1.8209675708485602
9,4.786461106281725,-4.786461106281725,0.45774647887323944,261.88380001490805,46076.918457068045,175.94413420931366,284,130,1,68.41976284980774,22.434176416726356,27.51753240485023,21.921166075260984,0.0774345125423583,0.8683662680912025,0.10728433989997438,2.351961579018087
