number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
0,-6.227433307951174,6.227433307951174,0.49019607843137253,69.09546312021385,17153.758309330835,248.2617169738965,357,175,1,91.46015310287476,21.55455628994315,20.77010519241906,25.365214104530324,0.02018760571644026,1.0414179539342523,-0.12956528989881447,2.0477494389899666
1,-6.0217247446096,6.0217247446096,0.5495750708215298,142.52029668281378,32292.790151399407,226.58379825905547,353,194,1,93.56954383850098,24.425127355995276,27.59876619804946,20.88084020052281,0.027172178127873182,1.133011763537028,0.026353046999204283,2.8539108071965726
2,-6.392221188681746,6.392221188681746,0.5261707988980716,54.69443316664959,17186.0573768801,314.21949880192653,363,191,1,96.91922950744629,22.43255801428835,23.769167897027998,28.356333928006663,0.021440537935024366,1.000343772207584,-0.21015483313919617,2.0428024669623124
3,-6.462965440013573,6.462965440013573,0.6016949152542372,39.79936558593978,15349.093021168055,385.6617510152107,354,213,1,100.83368635177612,22.269597665548428,24.047429550848026,26.555002796370125,0.004790005805973472,1.0993159633738239,-0.1416469136472019,1.7251610352303492
4,-6.265808448578592,6.265808448578592,0.41359773371104813,204.80748882684654,44578.968673598036,217.6627863021508,353,146,1,80.63451719284058,25.137066170112977,27.362779255829594,21.52903959665102,0.030654778156271822,1.0741448430782536,0.18112515272201957,2.99208346882323
5,-5.755795988906947,5.755795988906947,0.504225352112676,181.825167334453,28972.709425833815,159.3437797999702,355,179,1,93.092937707901,24.649410747448567,26.787137883503544,22.112179289558494,0.01659887386063349,1.0033450335549974,-0.024248153866072833,3.2017038926149692
6,-6.079969648988309,6.079969648988309,0.5242165242165242,154.8865709420003,35483.115115988294,229.09097218812792,351,184,1,91.985591173172,25.265701545506978,28.023792441049128,20.372130127186296,0.01698575566944837,1.2128143994277398,0.033266776648977946,2.9317288632657363
7,-6.045493336487379,6.045493336487379,0.5870786516853933,69.53917914987034,17236.546068828095,247.86812670998052,356,209,1,99.69743156433105,22.916508552873008,27.464951904747096,21.799717574808778,0.00875353996849778,1.0869385106094727,-0.02272293854919658,3.1173650013195076
8,-6.554683531563156,6.554683531563156,0.46285714285714286,185.10514958784887,60190.5566116799,325.1695414508937,350,162,1,82.01693367958069,22.076823907700238,28.75719991792567,21.488256692125056,0.08915272461684848,0.7544896496235926,0.1677718161340137,2.411886625853514
9,-5.805800471778125,5.805800471778125,0.4943820224719101,108.19690935210856,17770.704001043385,164.24410001594066,356,176,1,89.16753816604614,21.023182283713936,23.41976495435766,21.90976358664923,0.03895242970892998,0.998471730657874,-0.0572255838167982,2.9251865704150446
10,-5.646329984136858,5.646329984136858,0.4548022598870056,362.60387993679075,46711.629323522204,128.82275096357213,354,161,1,83.00702929496765,24.264112205098442,26.674018492742583,24.241552438628858,0.045165119815277516,0.9268564573624937,-0.012682264442312673,3.319759081754385
