number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScaleStart,p_wedgeScaleEnd,p_irisScale
0,-5.701741865911787,5.701741865911787,0.4846153846153846,0.5289053908854376,0.916261004267876,312.32138156232634,32677.818444681365,104.62882266086619,260,126,1,90.5916759967804,22.660820686370304,22.112144898796153,24.368710439673567,0.03149699052527942,1.1731835457364435,0.15393501940342547,0.8539755504418445,3.793493591416315,1.1637064461916857
1,-5.301057850462867,5.301057850462867,0.5817490494296578,0.6342713018031908,0.917192765581202,156.92394268131866,18308.175471163653,116.66910197600578,263,153,1,97.98970937728882,20.609622500324942,22.113694342909902,25.394838726087325,0.03936609041357977,1.04255397697159,-0.0934924977186245,0.8829797504995013,2.3190303837827395,1.239981008512684
2,-5.602241441722569,5.602241441722569,0.5485074626865671,0.5979485926970255,0.9173154170537372,127.68460125585678,18840.94171738491,147.55844895995784,268,147,1,98.39078617095947,22.563501043659766,27.68322726311905,19.223566048382683,0.025068230634156387,0.8100234402275561,-0.17833418698963732,1.3789267044755207,2.5330741195229134,1.1165341217207208
3,-5.7486566996722805,5.7486566996722805,0.6528301886792452,0.712372201242221,0.9164172711131239,77.23158533951573,15819.948375336693,204.83780445255704,265,173,1,101.20623636245728,21.4,25.0,20.0,0.0,1.0,0.0,1.0,1.0,1.0
4,-5.066361075752209,5.066361075752209,0.6007604562737643,0.6561021812007507,0.9156507530188301,170.24199633600088,16220.367899955889,95.27829941527645,263,158,1,97.94875979423523,21.4,25.0,20.0,0.0,1.0,0.0,1.0,3.5,1.0
5,-5.256894512426302,5.256894512426302,0.6398467432950191,0.6977181086201443,0.9170562371677932,135.5822001558751,16646.34608754178,122.7767809373497,261,167,1,99.06285619735718,21.4,25.0,20.0,0.0,1.0,0.0,0.6,4.0,1.0
6,-5.3155728537795985,5.3155728537795985,0.6136363636363636,0.6693697052197657,0.9167375799221391,140.84176477731685,17585.977147097703,124.86336829776785,264,162,1,97.31065201759338,21.13,23.58,22.07,0.036,0.848,-0.024,1.9,1.9,1.1
7,-5.218487579546785,5.218487579546785,0.5977011494252874,0.6519805608161701,0.9167468868658691,156.73945055052565,17299.070584592635,110.36832478251036,261,156,1,96.04106593132019,21.13,23.58,22.07,0.036,0.848,-0.024,1.2,4.0,1.1
8,-5.831581331676699,5.831581331676699,0.6461538461538462,0.704967699297809,0.9165722724565324,81.999836625374,18062.277653771307,220.27211756885526,260,168,1,100.81222367286682,20.778952340053063,25.785920600770318,26.447424813117518,0.04816702905486927,1.0201770908304701,0.13077567914891264,1.1270488818344688,3.5489088297041436,1.2460626090234053
9,-5.547923147387048,5.547923147387048,0.631578947368421,0.6886759610146861,0.9170916121972094,88.14241258297962,14290.419821973339,162.12875735072438,266,168,1,101.39820742607117,22.214963060737357,24.109999859877938,21.73079904574298,0.006078584309514126,0.8562836216507494,-0.09746060661647622,0.621024213059579,1.2827028311955226,1.0011432293059017
10,-5.581323834470024,5.581323834470024,0.6113207547169811,0.6660400163304584,0.9178438828421263,119.92222556670527,19458.392677389398,162.25843529368046,265,162,1,98.53942513465881,21.843997021096612,23.202798810963774,19.28473226952669,0.019497295054852197,1.0528095508008197,-0.16157663508604544,1.000569649080334,1.4800855544753826,1.10346112917727
11,-5.79005408990679,5.79005408990679,0.5962264150943396,0.6495930086981496,0.9178461084260096,115.97183203523878,22612.69224280864,194.9843496129097,265,158,1,96.84491515159607,21.226075490525297,25.752124901726027,23.600618081331977,0.06303403764533314,0.9521621013760754,-0.11093391996232604,0.4263001850734604,1.3650361753985512,1.0490051526550888
12,-5.147680048794448,5.147680048794448,0.5419847328244275,0.5919790682011304,0.9155471230957157,263.96365357312214,23644.78079974829,89.57589607388242,262,142,1,91.21071910858154,22.193511165907456,24.092990582189234,22.842731106613506,0.04081469479729101,0.8589205841923299,0.06026209541944886,1.185723756054719,3.6626258922177177,1.0743642882383981
13,-5.0685901782556835,5.0685901782556835,0.6067415730337079,0.662675499974728,0.9155937907118142,195.08789029086523,18814.59225553831,96.44162037677889,267,162,1,98.83945941925049,21.44427728363153,24.44318856311947,21.9084057873675,0.04229578240169361,0.7766596385401452,-0.0027825909012198294,0.7553055277804903,3.9008265653709477,1.0911173454740735
14,-5.405655224548072,5.405655224548072,0.6264150943396226,0.6825775721126618,0.9177200071206422,120.49072846239808,16805.911771756193,139.4788792981766,265,166,1,104.54154133796692,20.680012910087946,25.43041633558764,21.724126089817137,0.005662044240481699,0.9426007729127458,-0.01759063007441874,1.5835465468740821,3.4689034640845007,1.1201787480507115
15,-6.136800971232532,6.136800971232532,0.4541984732824427,0.49601124487601755,0.9157019684018932,206.38288852497925,26857.635958162682,130.13499399157797,262,119,1,82.43621301651001,22.10555284143978,23.57309955685009,23.41632606284025,0.04568775449777717,0.758333502768159,0.17617280138079366,1.6562576627958325,3.085720119344367,1.017493697275149
16,-5.552919144433431,5.552919144433431,0.5419847328244275,0.5921293890007262,0.9153146979228264,149.58022981972366,20093.632756757852,134.33347963815137,262,142,1,95.11889266967773,20.9805707355648,24.7730013952029,18.048938175245375,0.043459428156452255,0.7451413997573482,0.056020043068142726,0.48900527190322324,3.6883734247129984,1.0933105535920367
17,-5.495664734755965,5.495664734755965,0.6781609195402298,0.7398980127998395,0.9165599958486291,92.54611998767005,15290.716747884186,165.2226668165167,261,177,1,106.05754137039185,20.841052862566208,29.08854656795703,19.694646491630014,0.016139706516601644,0.9538826171995731,0.04825783214236946,0.8891127748913549,2.827524252600199,1.116712628196725
18,-5.729301110793945,5.729301110793945,0.5210727969348659,0.5683547489610516,0.9168090842689062,187.9944263104811,26087.50880719266,138.76745879746449,261,136,1,91.54580020904541,22.02487947591334,22.78430344356109,19.97826854379577,0.05790028588679463,0.7242009949679389,-0.09201346345635786,0.6427074903858288,3.734380274226436,1.233502779327768
19,-6.211665248793439,6.211665248793439,0.4671814671814672,0.5093683110669253,0.9171781146002325,117.48289970048303,18084.813955875245,153.93571321427717,259,121,1,92.01033520698547,22.270707056733066,22.654906075264968,25.71739999305787,0.041704474886742254,0.7017181192791024,-0.1744603563591224,0.685548828764504,3.80040253638962,1.0174861468537753
20,-5.5203520677270985,5.5203520677270985,0.562015503875969,0.6133106381930397,0.9163635340352183,143.04994743703799,20076.797565108314,140.34816457339082,258,145,1,94.93235468864441,21.344402132297986,25.51315191912052,24.492417031327047,0.018464186513155866,0.736511582686816,0.07158386482833082,0.770010372625919,2.985634383734853,1.1518205051236474
21,-5.507728369552518,5.507728369552518,0.6091954022988506,0.6652848754783642,0.9156910441723431,119.1770750271638,17902.982122715093,150.2216942195846,261,159,1,99.53483033180237,21.19682895533505,26.46315199331329,26.219456948497132,0.031263927770948254,0.7293929844401714,0.12811418833283683,0.5696557136299346,3.5219482875294776,1.1963218195545133
22,-5.691944592933139,5.691944592933139,0.6119402985074627,0.6669357348612039,0.9175401264633295,108.85216247752511,19748.142086060467,181.42167906069756,268,164,1,100.68907618522644,21.909670922874714,25.51322010904785,20.978171880896983,0.04213807832897776,0.9270735182366348,-0.14556905103881873,0.4640191046961348,3.153463115131341,1.1433260371819187
23,-5.443737762335218,5.443737762335218,0.623574144486692,0.6807743842192379,0.9159776850326893,119.45994655402869,17230.41297991879,144.23590062570398,263,164,1,98.01444959640503,20.905770180912526,25.734260232734588,19.480773620946014,0.00023492282126080202,1.0481038216216658,0.0521643281718062,1.3741110941987922,3.1597341054190817,1.0062736094893678
