number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScaleStart,p_wedgeScaleEnd,p_wedgeScaleMidBump,p_irisScale
0,-6.008235094226819,6.008235094226819,0.4794007490636704,0.5235452793128941,0.9156815427556536,223.7548923735451,23874.629987834433,106.69992389698099,267,128,1,86.71708798408508,22.072889239547585,23.132759626314897,19.851223675350454,0.05330739692560037,0.8361821768253888,-0.06894541041537838,1.9848857446298585,3.1906896937016693,0.3292480182224409,1.1890692576221307
1,-6.245514541517881,6.245514541517881,0.5610687022900763,0.6116596676007064,0.9172890285392233,103.70203874338375,24697.761995503573,238.16081433673168,262,147,1,93.5657250881195,22.200693813436118,25.35234783949179,23.058581319250703,0.04781670362797102,1.047765261134883,0.07266957110204911,0.8098485113493407,2.1768987607567647,-0.4640959589238821,1.1295377530443491
2,-5.262459243933094,5.262459243933094,0.549618320610687,0.6004149889908743,0.9153974012781361,189.86112307888345,15651.350975219135,82.4357863337631,262,144,1,93.92725586891174,21.942290363173488,23.13858587239243,19.00835077584157,0.001733169857232628,1.0251394033704297,0.07818089206988019,0.7957650290344124,4.417903175614208,-0.15953986866510106,1.0394331773941274
3,-5.066361075752209,5.066361075752209,0.6007604562737643,0.6561021812007507,0.9156507530188301,170.24199633600088,16220.367899955889,95.27829941527645,263,158,1,98.73202991485596,21.4,25.0,20.0,0.0,1.0,0.0,1.0,3.5,0.0,1.0
4,-5.608473993069397,5.608473993069397,0.5827067669172933,0.6357906405188298,0.9165073056781426,113.10636691900639,16485.975222477082,145.7563855294054,266,155,1,96.76867914199829,21.4,25.0,20.0,0.0,1.0,0.0,1.0,3.5,0.8,1.0
5,-5.3751769500979565,5.3751769500979565,0.625,0.6813156632226015,0.9173427733097604,122.8659280366785,16585.21750345292,134.98630392065917,264,165,1,99.66562867164612,21.4,25.0,20.0,0.0,1.0,0.0,1.0,3.5,-0.5,1.0
6,-5.213599755589313,5.213599755589313,0.6113207547169811,0.6671999832805343,0.9162481565290178,137.3864690265642,15433.012472541126,112.33284166839671,265,162,1,100.73313164710999,21.4,25.0,20.0,0.0,1.0,0.0,1.0,4.5,0.0,1.0
7,-4.894399245766452,4.894399245766452,0.6022727272727273,0.6571141719909415,0.9165419845503345,200.38134232633828,16116.141196787872,80.42735421215687,264,159,1,98.01312136650085,21.4,25.0,20.0,0.0,1.0,0.0,0.8,4.2,0.5,1.0
8,-6.038453238730358,6.038453238730358,0.6501901140684411,0.708797615933579,0.9173141944221352,66.85076762001711,18222.740101308846,272.58834490708847,263,171,1,99.6835412979126,21.755392926074048,27.269982455721944,20.51557859893146,0.017675413608598683,0.9024025206719819,0.04884960456329603,0.7527006277000234,3.3403296566275227,0.09923305372350985,1.073415846682149
9,-4.832222024641487,4.832222024641487,0.5945945945945946,0.6496956934698981,0.9151893733802987,243.33106662016394,17672.101144213153,72.62574972310885,259,154,1,111.50948309898376,20.7412969678722,24.829571472835642,19.516618471273837,0.02651523646132572,0.9273484570522454,0.07566182642492492,0.7995140804318418,4.195401112875745,0.6761243493017982,1.0283486635202195
10,-5.024284646525373,5.024284646525373,0.5655430711610487,0.6168787274163825,0.9167816071882746,264.01747675443806,19111.518240757563,72.3873225200661,267,151,1,106.57939410209656,21.848049140491007,24.4883622743326,21.039880202537994,0.03815390852608817,0.93614805507009,-0.0942386001425371,0.9825822350757576,4.451361912243157,0.9435691141949665,1.0408561827240026
10,-5.4985487535135125,5.4985487535135125,0.6486486486486487,0.7079738518678448,0.9162042453083844,104.80805415321812,16610.915072611428,158.48891773458607,259,168,1,113.683438539505,21.510433495373146,26.933790973725518,20.47756945723428,0.008662139108839525,1.0626304134897273,0.052059646680635834,0.7111973769683952,2.54793656201313,0.18653135208850372,1.0809535261455536
12,-5.011809469825257,5.011809469825257,0.5648854961832062,0.616756021834755,0.9158978205073022,298.53125137335996,21247.17751728781,71.1723728070094,262,148,1,93.08404994010925,20.553512576449958,25.417993849326933,20.75550504324222,0.026122831716271142,0.8704630146360264,0.04603347103154192,1.1765040964037847,4.289176723998295,1.1796864587521125,1.0521322101174768
13,-5.652568262989807,5.652568262989807,0.5670498084291188,0.6186538472144463,0.916586570959382,161.26972762467082,22105.626804288044,137.07238878542233,261,148,1,94.66650938987732,20.790122631459422,25.90862477019811,18.065139118226213,0.04557182158288028,0.9312058108865835,0.05631591048686717,0.9356325524979059,4.138506295851206,0.5762489070975647,1.0099617638208886
14,-6.094359597173863,6.094359597173863,0.5730337078651685,0.6250862656044676,0.9167274013148193,77.09248704115551,17115.217019676737,222.00888408931274,267,153,1,96.85848450660706,20.835446542852697,25.81502999126391,19.44060281318515,0.033105076683216515,1.064567799599974,0.021000012518175813,0.7064931356713275,4.074153544519903,0.7994807276755024,1.049441782488271
15,-5.51118138280422,5.51118138280422,0.5399239543726235,0.58975328726791,0.9155081727036644,200.60782233018998,19847.35542986934,98.93609929727283,263,142,1,92.8158802986145,20.679030139733268,24.42315099625298,19.655937022757417,0.02734689796092312,1.006710976822416,0.08468523279660713,0.9215745679515781,3.7171861964704327,1.2031478205135369,1.0307445661840233
16,-4.990803680811922,4.990803680811922,0.5440613026819924,0.5945656844718896,0.915056682366799,297.13793002970374,17972.773103453805,60.486297059608425,261,142,1,91.44781613349915,21.174241478033835,24.085164197732993,18.686073773707744,0.030633110152000962,0.8669363198302191,0.06477880529671086,1.4936654813812462,4.3363280723525905,0.16679791377006903,1.0656250055083318
17,-5.147718770400836,5.147718770400836,0.5779467680608364,0.6315316615252442,0.9151508994260207,183.8912645820301,16375.2074469989,89.04831604817345,263,152,1,95.00765132904053,20.527793723277146,24.187420795592146,20.036207383165355,0.014899857208699414,0.8294685043768036,0.07160736281061651,0.8197812632352107,3.6022051105776596,0.7120516884253093,1.030932678943553
18,-5.279513789096861,5.279513789096861,0.5703422053231939,0.6224674635690589,0.9162602685335665,189.3528796087349,18275.53281736314,96.5157374692499,263,150,1,95.35601782798767,20.702765205389962,25.22426260784184,21.287999878787808,0.021285719834336345,0.8267915445572701,0.024037000528441124,1.1811656734553573,3.2360775964541335,0.8534872842753878,1.0484284047631651
19,-5.511711584268118,5.511711584268118,0.5769230769230769,0.6301558992256724,0.9155243609271811,142.5756223839698,18145.05179786891,127.26615878977228,260,150,1,95.16250157356262,21.459504489635894,24.22762634218493,18.459392614682372,0.026889579324635468,0.9909788943146691,0.04868836473162305,1.7119007242506692,4.149103837133398,0.07645250328992123,1.1246860675528403
20,-5.1160470711031305,5.1160470711031305,0.5681818181818182,0.6202928892290578,0.915989572100356,278.45008286901395,22491.239585188545,80.7729678276615,264,150,1,95.16017842292786,21.176276535373,23.91849544858675,19.711105836623755,0.05413031141017567,0.8842216238102126,0.026794141979975934,1.278209440913039,4.406862012752009,-0.24853431751708044,1.0424142294789394
21,-5.143749083091842,5.143749083091842,0.5697674418604651,0.622027667011584,0.915984082505215,241.63400328207217,20281.886832806416,83.93639370834036,258,147,1,94.03430938720703,21.737391023755304,24.324891264812212,18.23412264660828,0.027660570199463812,0.853220067564696,0.04971344042465861,1.3455499683999907,4.3300735433740805,1.1304818196531574,1.0865923196339262
22,-5.712575418981851,5.712575418981851,0.5735849056603773,0.6264031819160316,0.9156800639260889,118.95324756768967,18094.8234746981,152.11710352339344,265,152,1,95.40337896347046,20.937285915753783,24.57081635602335,19.266431104826324,0.036172149278761,0.9080777576568279,0.07794177710167628,1.7804768659754844,4.001005252167496,-0.03373661492072905,1.0713140227623978
23,-5.38786640770866,5.38786640770866,0.5708812260536399,0.6231665118137728,0.9160974077250192,164.70361236293246,17780.293327287527,107.95326873649731,261,149,1,96.54658222198486,21.356166061674227,24.371526801148935,19.80607661287791,0.03041852423693504,0.9057100210657631,0.031025379143377448,1.5839808653432292,3.5870862546205906,0.6423489712978953,1.0054179455123757
