period,z_m,n_mu,eps1,eps2,eps3,eps6d,mean_p
1,4.2501999999999995,1406,64.34564313563028,56.72083830967391,4.315492361907829,15750.420001652701,264.16174563584605
2,8.4502,1430,82.23479746877055,50.41181810563181,4.5536980973038785,18877.836569452968,257.97975568025134
3,12.6502,1390,76.47689804412565,45.77654360003154,4.11790199996089,14416.149218411789,247.0283113565579
4,16.8502,1334,82.09219832003943,40.28430312669705,3.5941811518249147,11886.054117228623,244.54561106402753
5,21.0502,1263,86.55312604024635,35.69125603562323,3.2181590212014077,9941.50396574509,248.10851110705698
6,25.2502,1165,76.5445895778038,33.405800757859375,2.9749930948710444,7607.1564362267545,246.88663542680263
7,29.450200000000002,1121,75.24443189174298,30.725189395734812,2.7270961738089894,6304.77206482654,243.5398762908675
8,33.6502,1068,68.55634992694557,26.52545595223809,2.4902980192954565,4528.578160824959,239.62818757570264
9,37.850199999999994,1030,62.57433248739015,25.29087100787783,2.236130858674208,3538.8098459433395,235.86339665001378
10,42.0502,1013,63.20845824017685,22.5041974560681,2.204829037600311,3136.2714669857937,233.33505799455253
11,46.2502,987,68.31995660379559,21.589554805551906,2.0778148470040314,3064.771595522736,234.49481768259292
12,50.450199999999995,942,55.29458030952778,19.565032666612506,2.074040196205543,2243.780205942087,232.75970599173962
13,54.6502,902,50.87430567232029,18.016925827153766,1.9907722494328446,1824.7390404368925,231.42321545658027
14,58.850199999999994,877,47.223913929994296,17.382986560663948,1.8403967580346914,1510.768192343102,229.77411915796029
15,63.0502,860,43.341507718511345,16.427549720722464,1.7032810023906193,1212.7271706811434,226.484904798772
16,67.25019999999999,855,43.98002787560047,16.185773914148594,1.6157089144685042,1150.1436638338432,225.36362627059145
17,71.4502,832,39.29154313711665,13.74424754739388,1.7762530186530832,959.23470536786,225.28084306340264
18,75.6502,807,31.900919944669315,13.774641684985518,1.5515182130221161,681.7739384186173,223.55560449832228
19,79.8502,796,33.396512163731266,13.474636217730817,1.477711731177256,664.9789271120269,223.01911909715065
20,84.0502,785,30.331790464113485,13.168926693820213,1.465296759144759,585.2939249119742,220.90738654598798
21,88.25019999999999,773,30.83591175557272,11.67331696617863,1.5128962291680081,544.5781505541421,220.33554591025586
22,92.4502,765,25.55468481061812,11.630902958300958,1.4527436810789416,431.7903738126166,219.7264371396004
23,96.6502,761,29.3771583065201,12.040251058680179,1.3918185826976661,492.2978702535843,221.9008777744754
24,100.8502,757,27.423503957487878,11.845819084848431,1.392402355322597,452.32728892408653,219.93091037800778
25,105.0502,751,25.31363321572987,10.995755352670571,1.3549284839099085,377.13420582304036,218.98515257802833
26,109.25019999999999,748,24.060531044674374,10.776885766653434,1.3840878679819346,358.89065481836235,217.16142362395547
27,113.4502,729,18.81683162762313,10.397783006029002,1.1527430208994116,225.53801312281857,215.85888742855838
28,117.6502,725,18.834267245228776,9.909102658249195,1.1633235467565188,217.1118734625376,214.3293929060573
29,121.8502,714,15.997797058826796,9.2172402237938,1.114239696971279,164.30081458256424,214.59181104186828
30,126.0502,708,15.113431513913518,8.623871890685468,1.1317826125050765,147.51235495450408,213.17144835017754
31,130.2502,700,13.39302151679191,11.909727714436743,0.7406061267933388,118.13203887016817,214.49673280352474
