period,z_m,n_mu,eps1,eps2,eps3,eps6d,mean_p
1,4.2501999999999995,1403,65.16229902072101,55.090899278980885,4.756225502903945,17074.134467086642,262.2624489337959
2,8.4502,1414,79.63676772474984,50.057026242890736,4.134436825944286,16481.4353311295,263.96009292402215
3,12.6502,1391,73.15402390262834,45.8435498960967,4.053405701704763,13593.664084724172,257.2982427826752
4,16.8502,1361,71.05007470773333,43.0021973824338,3.7637345616630205,11499.373346803202,255.26064939193208
5,21.0502,1367,80.9437571354038,39.72735263979975,3.8896238656078013,12507.790276338501,254.70805941496872
6,25.2502,1316,72.53107824725072,37.62071179090485,3.726743355226301,10169.055737555807,250.63921973611238
7,29.450200000000002,1278,69.19884502549101,32.11283418813359,3.7201643909891344,8266.841559982564,247.46621872831324
8,33.6502,1240,66.78062163712883,30.92737477559438,3.2961695856474873,6807.741589639625,244.32907009585577
9,37.850199999999994,1204,62.98580105790019,30.275867868330653,3.1314461021674065,5971.510488208181,241.31101995690688
10,42.0502,1185,58.526590136340644,26.607907013136856,3.1346237230320413,4881.455698771042,239.2075895447476
11,46.2502,1159,58.515917676633954,25.69975466085966,2.8765099089954114,4325.824261810668,238.64926430485926
12,50.450199999999995,1127,53.76910525074757,23.60697882398291,2.7575368424444684,3500.213565902205,237.65769654565096
13,54.6502,1100,48.62073603782622,23.504643236889834,2.5902249579730743,2960.142896022153,235.2481485621761
14,58.850199999999994,1082,45.21895015804148,21.399520233734133,2.548694947589018,2466.2799370549033,231.95323425200448
15,63.0502,1062,42.42952959448198,19.177280407422394,2.5548272097560707,2078.8194342516485,230.5521657230141
16,67.25019999999999,1042,41.14427824746507,19.012585444978814,2.3923137916392188,1871.409247325663,230.57576010392575
17,71.4502,1017,34.940567540163904,17.806737508342863,2.2570850509624893,1404.3075672040193,228.40076425869557
18,75.6502,1006,35.320587112374085,17.15646567320223,2.166874724896299,1313.0750324787675,226.9965722029876
19,79.8502,998,33.01084121665594,16.38120661866728,2.1419910797897526,1158.2975498912228,225.02260140544809
20,84.0502,986,32.00607472994593,14.595506724071903,2.2454889608698068,1048.9686687688338,225.62102439986302
21,88.25019999999999,976,29.69450324021192,14.770286720987725,2.015707125994888,884.0817415578967,225.7575714541118
22,92.4502,964,28.632478524061906,14.316123373281213,1.9204247393543363,787.1938057140694,223.93665247277733
23,96.6502,958,27.50567834448846,13.672915641329272,1.774557647737311,667.3806438133315,221.1253555490968
24,100.8502,948,24.306832442359937,12.927838765739748,1.760406164149411,553.1808977830109,219.01662731561376
25,105.0502,937,23.169555536473656,12.416778523188926,1.6439499940361728,472.95001158706424,219.82764099897108
26,109.25019999999999,925,20.88045513548822,12.231129125746724,1.6436306750874354,419.7693741776793,219.6718546758312
27,113.4502,922,22.62449876187022,12.165335849200162,1.50164739944434,413.30536015664825,218.4277016450117
28,117.6502,916,20.155174452367607,11.123345787870054,1.5417232588189922,345.64352378779904,216.68094887888518
29,121.8502,910,20.6887348228014,10.868785343428689,1.4792182987562383,332.61912391791606,217.16590618472407
30,126.0502,907,19.94572810973324,10.868820716414096,1.318837946178201,285.9063189749299,217.5763833587155
31,130.2502,905,21.22541474433275,13.760025534019228,1.003281643316676,293.0206929791659,216.81302572425756
