number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale,p_irisScale
0,-1.0551747701135337,1.0551747701135337,0.3192307692307692,0.3481315789935338,0.9169830848258055,278.1482107649176,114445.04909388519,411.4534793488593,260,83,1,91.82440185546875,24.05714983841043,26.203425454379854,23.48770249266691,0.09458122517980402,0.9306659476029204,0.055036900642137454,0.6560551581816978,1.3770316556665274
1,-0.5608289770928534,0.5608289770928534,0.5223880597014925,0.5707357408337282,0.9152888496844273,107.05744616740414,20118.57367683858,187.92316085496253,268,140,1,114.17541933059692,21.514999348671026,24.296726205850874,24.25794285068981,0.043445708314609116,0.6610694879918879,0.14790539917070689,1.2945824831477726,1.1055284648539223
2,-0.5016156165405382,0.5016156165405382,0.5555555555555556,0.60555152990859,0.9174372916528153,220.39852426304844,21888.051002649383,99.31124119744884,261,145,1,115.15324783325195,21.796790721629062,20.133009133225425,19.17419074830912,0.045755607915966584,1.1359248551357413,-0.19119237829527524,1.4001243467826652,1.3158616283010127
3,-0.510339319543849,0.510339319543849,0.5513307984790875,0.600291853492326,0.9184379152767156,123.58842501936881,39434.442074600454,319.07876541367267,263,145,1,121.04755282402039,22.18481828939042,29.65658762411987,24.14781539737934,0.091365661208886,1.045096495288994,-0.0872879236685368,1.0232505663105669,1.2817201153852604
4,-0.8256762289483057,0.8256762289483057,0.4015151515151515,0.4379387454535755,0.916829478285371,650.0821115157602,61476.744690011226,94.56766091697145,264,106,1,95.11710715293884,22.73286662353805,20.445970440759545,27.327015613124193,0.07687116972682106,1.1363891795658576,0.07155853044465521,1.4213040948008409,1.185381118817002
5,-0.9819953005122852,0.9819953005122852,0.3436293436293436,0.3745629870257495,0.9174140412483432,254.9843679716113,104043.53262728543,408.03886706838875,259,89,1,80.12358808517456,24.08087891893583,24.43080380323265,20.11484807433935,0.07909269419049322,0.8953196859998649,0.1438598017927164,0.7687670973735325,1.0224361350387174
6,-0.7990666101903493,0.7990666101903493,0.4115384615384615,0.4497485589858336,0.9150412009467369,138.97763293822882,29041.994497331292,208.96883824636402,260,107,1,90.12683129310608,20.149581848839187,21.068185346790898,22.4907419857048,0.06914829290485229,0.9276079393703351,0.1766430963849151,1.471041954171847,1.1929078773266888
7,-0.5297181954127205,0.5297181954127205,0.5399239543726235,0.5887708646327878,0.9170357889726256,116.93487456382788,28616.50201070323,244.72170614150838,263,142,1,103.57108807563782,24.311589598134972,23.784663056045105,26.383580083192726,0.028252626666776894,1.0709855631556375,-0.024942818654159205,1.4246674694908057,1.2707212281332154
8,-0.6886667122551758,0.6886667122551758,0.46037735849056605,0.5022452603051447,0.9166385327575985,133.4742537869224,45179.825439483655,338.4909385716327,265,122,1,85.7699236869812,23.495223561253503,28.96527223048319,20.694753151725717,0.058129155294512416,0.9563816739760499,0.17156346121111182,0.9193409858512,1.365690044581655
9,-0.8340751467308433,0.8340751467308433,0.3977272727272727,0.434275937280809,0.9158399961499516,256.7216717742997,40294.489133299416,156.9578791490765,264,105,1,79.90286326408386,22.443681893989243,22.79893615970586,16.573467466155464,0.0630849584248188,0.7015012975564638,0.12377985509191469,0.8381347926526634,1.0240588264186754
