evaluation,bayes,gp,random
1,3.146743278579819,3.7822226171532165,4.036207413858988
2,3.146743278579819,4.311449996216462,4.588421821472992
3,4.438869407330445,4.311449996216462,4.588421821472992
4,4.438869407330445,4.821099233849092,4.588421821472992
5,4.919131735339411,4.973236184275549,4.9998142418798786
6,5.093173187855286,4.973236184275549,4.9998142418798786
7,5.093173187855286,4.973236184275549,5.847290931950356
8,5.093173187855286,4.973236184275549,5.847290931950356
9,5.093173187855286,4.973236184275549,5.847290931950356
10,5.093173187855286,4.976066710854308,6.224544659496537
11,5.093173187855286,5.164421607912487,6.224544659496537
12,5.093173187855286,5.164421607912487,6.224544659496537
13,6.6018257848229105,6.653562532852204,6.224544659496537
14,6.6018257848229105,7.297141157830524,6.224544659496537
15,6.6018257848229105,7.297141157830524,6.224544659496537
16,7.556907526785527,7.297141157830524,6.224544659496537
17,7.556907526785527,7.297141157830524,6.224544659496537
18,7.556907526785527,7.297141157830524,6.224544659496537
19,7.556907526785527,7.297141157830524,6.224544659496537
20,7.556907526785527,7.297141157830524,6.224544659496537
21,7.556907526785527,7.297141157830524,6.224544659496537
22,7.556907526785527,7.297141157830524,6.224544659496537
23,7.556907526785527,7.297141157830524,6.224544659496537
24,7.6419461993174815,7.297141157830524,6.224544659496537
25,7.6419461993174815,7.297141157830524,6.224544659496537
