number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf
0,4.826373909371278,-4.826373909371278,0.18461538461538463,675.7711812577877,65326.18579186042,96.66909096400238,130,24,1,28.69000506401062,21.30230373831543,19.115241791349465,23.00721273016419,0.03771950963804499
1,3.688850561947382,-3.688850561947382,0.20491803278688525,195.19436033056007,81816.98415586434,419.15649620874257,122,25,1,28.76845121383667,22.80550792901534,24.643457130527576,19.424630517425975,-0.09597814977739544
2,3.484633063350073,-3.484633063350073,0.216,150.97434695211712,58108.81895596428,384.8920040329369,125,27,1,31.872119188308716,20.834151306119495,24.987594442307522,21.36889683879742,0.04095242423574655
3,5.699634556625104,-5.699634556625104,0.2,1493.7910090483695,181078.34051471984,121.22066568741576,130,26,1,28.571627378463745,20.84380048762485,26.168042007945004,23.724267618449137,0.05504468498568918
4,4.6570830029471,-4.6570830029471,0.2459016393442623,428.33545673984105,208228.91429225513,486.1351331433847,122,30,1,30.5586256980896,19.81410838659282,24.90832357732228,18.972708934295344,-0.010992970123256243
5,4.4433546258424,-4.4433546258424,0.2727272727272727,311.88596056132747,109330.60946915661,350.5467487936459,121,33,1,30.080945253372192,21.146399483817838,26.221893547096112,14.982155638157778,0.08001183913200202
6,5.509077267985259,-5.509077267985259,0.1774193548387097,1391.7488214225684,340986.28029830183,245.00561814722042,124,22,1,29.568329334259033,20.79824123995985,28.9995863174158,16.116446405101655,-0.01653783530156354
7,5.198009889725847,-5.198009889725847,0.184,983.2165698589649,214266.45706570055,217.92396877163642,125,23,1,28.35922908782959,18.476121362054077,26.80301130776807,23.02521864912437,0.0917467152332547
8,5.770178068237203,-5.770178068237203,0.1774193548387097,1806.988959068024,171664.1457433343,95.00010771060388,124,22,1,27.444531679153442,19.228917250526838,19.403165255058113,20.555279134712357,-0.03901974448263448
9,4.033623434086024,-4.033623434086024,0.19008264462809918,297.0557298384126,51579.750633127,173.636612433581,121,23,1,27.925965309143066,23.852682090986107,22.856939690870032,17.367737143173034,0.019456185430500053
10,3.9356417432675714,-3.9356417432675714,0.19166666666666668,267.104313701049,77013.65380295725,288.3280046504722,120,23,1,30.31117033958435,18.768234699616634,30.942361769362343,22.223916714828693,0.08890669102720122
11,4.001347598893676,-4.001347598893676,0.1893939393939394,288.6669774792916,176826.44734500602,612.5620910611128,132,25,1,29.59971809387207,19.71507843623619,25.205854006456775,23.880501874286402,0.09645807799088732
12,5.95228635588508,-5.95228635588508,0.19672131147540983,1955.2113427211978,216547.10338223982,110.75380888536418,122,24,1,27.370997667312622,18.441842471114764,20.859339507591407,22.623434817598834,-0.0649458213877441
13,5.558779778163361,-5.558779778163361,0.16,1621.9124261014988,150234.3110811097,92.62788092833077,125,20,1,25.99117875099182,19.692633748585802,18.61550112274389,21.996188131102322,-0.08115902294553591
14,5.513114141301427,-5.513114141301427,0.168,1475.7261325333498,110331.16546273118,74.76398433991804,125,21,1,26.498363971710205,18.87413852992525,20.052047049994062,23.509849308527976,-0.020706564299594003
15,5.575632792328137,-5.575632792328137,0.13709677419354838,1925.0380521496068,116732.94633545657,60.639292924680596,124,17,1,25.933263063430786,18.381736018691456,18.97539580730729,22.976849274202493,-0.03545369460741346
16,7.0932943526209185,-7.0932943526209185,0.1693548387096774,7108.549407280466,223507.16131044098,31.44202122046566,124,21,1,27.077367305755615,18.43014393809907,20.915115039554134,21.3112420635099,-0.01790641980422293
17,4.327326021864316,-4.327326021864316,0.15702479338842976,482.3536642715773,116054.84928038772,240.60115611570413,121,19,1,26.774580717086792,18.566698852330404,25.836233217853255,22.880331907408717,-0.08172809674126716
18,6.763433175863787,-6.763433175863787,0.1328125,6517.525743651386,367817.7977203515,56.435189086692404,128,17,1,24.806281328201294,19.942773609480366,18.652573189090873,16.415328084686596,0.0018293841615619338
19,4.071036792263147,-4.071036792263147,0.1774193548387097,330.3907036207374,47712.571602968084,144.41257299339262,124,22,1,26.85092520713806,18.430941315547038,18.79592600653166,19.005112007299253,0.046470272181272546
20,5.504403712523467,-5.504403712523467,0.2153846153846154,1141.0836417221135,187059.66431551098,163.93159754109013,130,28,1,29.239769220352173,22.087208729098162,21.40859124508184,24.958764382946548,-0.03122550191197165
21,5.676833947974774,-5.676833947974774,0.1721311475409836,1696.5169154792168,80337.75588495756,47.35452688502341,122,21,1,27.58959984779358,20.080250067763824,19.558197136403678,14.522876945086082,-0.0055852017328994925
22,8.299450994936414,-8.299450994936414,0.15267175572519084,26341.89837340761,457404.8397223592,17.36415626688901,131,20,1,27.07901668548584,20.602670333208156,18.167872051830592,14.976133586093137,0.00650120228369808
23,5.849509620950407,-5.849509620950407,0.14516129032258066,2390.886337433193,189519.41409762713,79.2674294592738,124,18,1,26.174115657806396,20.348215121826534,18.24491431598653,17.133295858783214,-0.014129615785577733
24,5.132766871408462,-5.132766871408462,0.19047619047619047,889.7984247351134,109522.47906616263,123.08684306646946,126,24,1,28.125479698181152,21.73430680965696,19.026771505953246,16.648255233104717,-0.0376099949241759
25,6.7434287769678525,-6.7434287769678525,0.109375,7757.393838948521,199242.71511006143,25.68423355144076,128,14,1,25.12578797340393,22.376781059731123,19.52444553448668,17.350972766360822,0.042697936222009944
26,7.559876023450278,-7.559876023450278,0.1796875,10683.033111954888,627213.2875892703,58.71116199081934,128,23,1,27.57498288154602,19.53417411217815,20.163305550460613,14.902525656253545,0.06559100880597318
27,4.872854399954458,-4.872854399954458,0.171875,760.3981749672794,110409.86681576399,145.20006813603285,128,22,1,27.614331007003784,21.86263534928045,19.64744440461681,16.65155575074667,0.018477020826638407
28,4.46631065040752,-4.46631065040752,0.14960629921259844,581.7604457159504,65879.87588538155,113.24227415342014,127,19,1,25.27556014060974,20.831512136970716,18.163122701400127,14.750202215651127,0.04783772957055915
29,6.005371882937509,-6.005371882937509,0.175,2317.7245547422544,143779.68222901912,62.034844448980834,120,21,1,25.749499082565308,18.74911658461861,20.096255803713735,14.141403725373378,0.08141431376037882
30,6.716052468599289,-6.716052468599289,0.125,6604.417420590503,337421.5224378629,51.09027805933168,128,16,1,25.242065906524658,20.64291146021454,18.5855538419172,15.460319290947826,0.09045223951175174
31,4.992792721219567,-4.992792721219567,0.22950819672131148,642.0134513811937,53853.56093426204,83.88229377188958,122,28,1,27.904670476913452,18.224596529194493,19.928491745406966,14.87711430795399,0.054674450230257486
32,5.541925928554232,-5.541925928554232,0.175,1458.108364109336,118669.56730979313,81.38597255923477,120,21,1,27.069748163223267,19.478765776329155,19.47428789170342,14.520313990629447,-0.09184864351888478
33,5.505466969057788,-5.505466969057788,0.11363636363636363,2165.0932054843397,305043.5048056048,140.89162722090083,132,15,1,23.384275436401367,23.22845566011221,19.780760809418545,23.52761950790491,0.0951873164757578
34,5.068866364088024,-5.068866364088024,0.21138211382113822,752.1638466787829,165593.2008312522,220.15575670438997,123,26,1,28.082170486450195,18.08284788318182,23.44814631235627,20.316091518932485,0.0053468133301146845
35,4.460723352625294,-4.460723352625294,0.17886178861788618,483.89370006954556,212765.67332745352,439.6950679392492,123,22,1,27.40668249130249,18.42285409823544,23.165045835299964,21.121480891276626,0.023688930575896695
36,4.275263867835841,-4.275263867835841,0.13445378151260504,534.7496207260633,101145.04803081337,189.14468399899442,119,16,1,27.60970950126648,24.23585754133969,31.90397415757464,19.246863003144334,0.07273427123347091
37,5.671017863902478,-5.671017863902478,0.2184873949579832,1328.8176209262772,70224.63016683182,52.84745555818294,119,26,1,28.68664574623108,18.765934953083104,21.74253765758268,16.21994379046079,0.00013784734580992602
38,7.111336494696064,-7.111336494696064,0.16535433070866143,7413.078939785765,615637.8643012703,83.04752577193815,127,21,1,28.66055202484131,23.626492374184657,30.10186735449996,24.215246129215863,0.0734952316674414
39,6.009751559338617,-6.009751559338617,0.1328125,3067.3475570655373,122893.77975033397,40.06516296702409,128,17,1,26.098021745681763,19.330457640125942,18.037643898348076,16.317364081981424,0.009855126953870742
40,7.597414429968847,-7.597414429968847,0.224,8897.482558351023,461911.5825697548,51.91486238275483,125,28,1,29.456242561340332,20.95795345673988,22.119016175925164,15.357133012937991,0.03561363554310393
41,3.574080966934055,-3.574080966934055,0.19047619047619047,187.2246145794155,124608.88304257685,665.5582297365138,126,24,1,29.929896593093872,22.268329251092105,28.96300895879985,24.036897241841263,0.061907736312188856
42,4.003284918320126,-4.003284918320126,0.175,313.0159736860682,344049.3741514544,1099.1431846111163,120,21,1,30.26404571533203,23.88337985686277,31.094668101683435,22.942439538154588,0.07134867136594726
43,4.842206552233712,-4.842206552233712,0.18253968253968253,694.3625588988574,335281.28606641095,482.86198869667,126,23,1,30.021783113479614,23.291723422917165,31.366731074260663,25.69656631249676,0.07781910187582404
44,6.540204673068108,-6.540204673068108,0.1111111111111111,6231.854564601559,503952.928690823,80.86724801849478,126,14,1,24.30004620552063,24.442089409352242,28.339438607253307,23.61730010075662,0.06751301420893828
45,6.48511512552761,-6.48511512552761,0.15079365079365079,4345.769200917435,333007.98605996754,76.62808830014862,126,19,1,26.758653163909912,24.545372680537863,25.12538301532896,25.222202609098098,0.04631935959509645
46,6.696889336483091,-6.696889336483091,0.21311475409836064,3800.218496706922,403839.48364842153,106.26743804293582,122,26,1,27.982407569885254,19.82157197203396,24.79966578226701,16.576866074970223,0.05250093079168407
47,6.42340321355325,-6.42340321355325,0.192,3208.8346746462444,244996.2430631359,76.35053466571796,125,24,1,28.046509981155396,21.426761792986934,24.365980260993172,17.949681703641453,0.03521758189542558
